id,scan_result_id,severity,title,description,rule_id,file_path,line_start,line_end,recommendation
c0c135c3-28e8-45c1-ac0a-d75ce2b04587,ca1e9dfa-c728-4b0d-a4a6-bd4ee8e6ceed,high,SQL Injection detectado en parametro de busqueda,Left over no first join talk month poor want.,semgrep.CWE-089,src/Controllers/NotificationController.cs,17,17,Usar consultas parametrizadas con Entity Framework o Dapper.
8c2a14c1-e4fc-4487-a683-c61798096082,ca1e9dfa-c728-4b0d-a4a6-bd4ee8e6ceed,low,API Key generica expuesta en codigo fuente,Forget enough buy particularly receive involve city leg vote.,gitleaks.generic-api-key,src/Config/SearchConfig.cs,288,294,Externalizar la API Key a variables de entorno o un vault.
8cf353d9-bedd-47a3-aa39-bb5ab8cc39f9,60f5d0b5-dc7b-460c-afc0-bcc2e40baf3f,critical,Cross-Site Scripting (XSS) en renderizado de input de usuario,Capital middle information sense article me short share prove important argue.,semgrep.CWE-079,src/Views/AuthView.cshtml,48,60,Sanitizar y escapar el input antes de renderizarlo.
a5573d13-f432-4bb9-aecb-f819ceee2ed5,60f5d0b5-dc7b-460c-afc0-bcc2e40baf3f,high,Credencial hardcodeada en codigo fuente,Majority east serve morning energy question seven cover seven not outside run leg people inside call.,semgrep.CWE-798,src/Repositories/ReportRepository.cs,136,137,Eliminar la credencial del codigo y usar un gestor de secretos.
90dc4fec-5a82-4ecf-b7e1-be27dbcbc32e,db6320f7-197a-42a9-b15f-481107109976,critical,Metodo demasiado largo (>100 lineas),Himself five adult minute cost statement article else just edge through Democrat unit.,sonar.long-method,src/Services/AuthService.cs,283,292,Dividir el metodo en unidades mas pequenas y cohesivas.
0f8b5f6d-d7f1-4847-840c-c1d956b3d3dc,5370e8ef-ae4a-41c6-a3b1-e343bec8e885,info,Dependencia con vulnerabilidad conocida (paquete desactualizado),Break whatever down similar one strong tree common something open southern modern research.,trivy.CVE-2024-1234,src/Scan.csproj,286,293,Actualizar el paquete a la ultima version parcheada.
cfe20070-55e1-4cd3-a1c4-b4dd13c721a0,5d2b5628-0181-42e1-a1da-7d7fed468a9d,high,Bloque de codigo duplicado detectado,Very I inside drive Republican standard toward director contain drop fine assume million.,sonar.duplicate-code,src/Helpers/SearchHelper.cs,162,174,Extraer la logica comun a un metodo/clase compartida.
82640da2-ca68-4bc5-8eae-7e0a527c1fcc,5d2b5628-0181-42e1-a1da-7d7fed468a9d,low,Convencion de nombres no respetada,Baby only line believe red else yes evening what benefit.,sonar.naming-convention,src/Models/ReportModel.cs,109,124,Renombrar siguiendo la convencion PascalCase del proyecto.
773e8f2b-58c5-43e4-b60a-09a1f1ef1ad4,46dc0739-22fd-4984-a851-4f5fa2673534,high,Dependencia con vulnerabilidad conocida (paquete desactualizado),Green how its particular door occur charge election safe.,trivy.CVE-2024-1234,src/Report.csproj,113,117,Actualizar el paquete a la ultima version parcheada.
cc2099b4-5b96-48ab-aee6-7f519fc97a48,2cede1c2-40a8-47d4-9c27-d3bbd2de813b,high,Bloque de codigo duplicado detectado,Worry character beautiful spend out American magazine those item thousand remember.,sonar.duplicate-code,src/Helpers/PaymentHelper.cs,217,219,Extraer la logica comun a un metodo/clase compartida.
19c5636f-3636-42bf-8186-1e576e7509b1,2cede1c2-40a8-47d4-9c27-d3bbd2de813b,medium,Convencion de nombres no respetada,Final represent produce start ever participant even agreement lose movement common way state beyond.,sonar.naming-convention,src/Models/ScanModel.cs,284,284,Renombrar siguiendo la convencion PascalCase del proyecto.
1a459953-7fa9-4cb0-b868-454926c3d823,6628f32c-22c7-4424-b0fb-77aefc81bfdd,medium,Credencial hardcodeada en codigo fuente,Commercial become story number that surface ball minute ok conference.,semgrep.CWE-798,src/Repositories/PaymentRepository.cs,260,263,Eliminar la credencial del codigo y usar un gestor de secretos.
45bfae4a-ac99-4453-aee1-e7bd370c59d8,6628f32c-22c7-4424-b0fb-77aefc81bfdd,medium,Cross-Site Scripting (XSS) en renderizado de input de usuario,Former from pull lawyer throughout foot step professional these stuff you kitchen different apply.,semgrep.CWE-079,src/Views/UserView.cshtml,79,90,Sanitizar y escapar el input antes de renderizarlo.
abcd07ec-8e63-4209-84e2-58d2581f03d4,817288ba-1ef2-4fde-8abe-12e44080f7ac,high,Convencion de nombres no respetada,Fear threat his rock floor former gas oil down assume business.,sonar.naming-convention,src/Models/SearchModel.cs,166,181,Renombrar siguiendo la convencion PascalCase del proyecto.
d158b3a6-5568-4b4e-adcd-5ed609950aff,817288ba-1ef2-4fde-8abe-12e44080f7ac,medium,Variable declarada pero nunca utilizada,Hour too stock probably his common until decade little recognize walk on.,sonar.unused-variable,src/Controllers/UserController.cs,30,37,Eliminar la variable no utilizada.
